,Expected Loss,Standard Deviation,VaR (99.93%),VaR (99.9%),VaR (99.0%),ECAP (99.93%),ECAP (99.9%),ECAP (99.0%),Expected Shortfall (99.93%),Expected Shortfall (99.9%),Expected Shortfall (99.0%)
Run 1,7315861.203587044,5602954.871086487,47164500.609493196,44413314.949546,28913358.796342004,39861649.006692104,37110463.34674491,21610507.193540916,54327290.54381608,51727416.91587179,35912746.82758221
Run 2,7466682.736210801,5654275.710889434,46984341.236959204,44101248.50491601,29029747.030430004,39681489.63415811,36798396.90211492,21726895.427628912,53731453.87470084,51347203.891494446,35530750.00735747
Run 3,7372980.17491511,5654149.607803537,46869161.550032005,44367516.551834,28966857.30433,39566309.94723091,37064664.94903291,21664005.701528907,53649105.79388997,51212628.30934667,35711905.52120122
Run 4,7300229.3048067065,5662968.408752639,46549069.01658801,44175500.13714401,28366434.3982712,39246217.41378692,36872648.534342915,21063582.79547011,54191706.66665039,51474082.31726713,35218863.35198392
Average,7363938.354879915,5643587.149633025,46891768.1032681,44264395.03586001,28819099.3823433,39588916.50046701,36961543.43305891,21516247.77954221,53974889.219764315,51440332.858495004,35593566.427031204
